"Job","Site","Classification","Asset ID","Description","Location ID","Location","Manufacturer","Model","Serial","AMP FRAME","ASSET UID BREAKER IS INSTALLED IN","BREAKER CONSTRUCTION","BREAKER MOUNT","BREAKER TYPE","GROUND FAULT DELAY (TG(S))","GROUND FAULT PICK UP (PU X IN) (IG)","GROUND FAULT (I2T)","INST (X IN) (II)","KA RATING","LONG TIME DELAY (LTD / TR(S))","LONG TIME PICK UP (LTPU X IN) (IR)","OPERATOR TYPE","SENSOR IN (PLUG RATING)","SHORT TIME (I2T)","SHORT TIME DELAY (TSD(S))","SHORT TIME PICK UP (PU X IR) (LSD)","TRIP MODEL","TRIP TYPE","VERIFIED AGAINST COORDINATION STUDY","VOLTAGE RATING"
"SY6 Breakers — Asset Capture","SY6","BREAKER","1145","SY6-BLK2-MSB-2-3_ACB-N3-UPS 2-3 WRAP AROUND","SY6-GF-27","SY6-GF-BLK2-SWITCHROOM 7","SCHNEIDER","","","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1325","SY6-BLK1-LVSB-1-1A_ACB-1 MAIN ISOLATOR","SY6-GF-05","SY6-GF-HALL-1","SCHNEIDER","NS1600NA","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1326","SY6-BLK1-LVSB-1-1A_ACB-2 PDU BUSBAR ISOLATOR","SY6-GF-05","SY6-GF-HALL-1","SCHNEIDER","NS1600N","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1331","SY6-BLK1-LVSB-1-1R_ACB-1 MAIN ISOLATOR","SY6-GF-05","SY6-GF-HALL-1","SCHNEIDER","NS1600NA","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1332","SY6-BLK1-LVSB-1-1R_ACB-2 PDU BUSBAR ISOLATOR","SY6-GF-05","SY6-GF-HALL-1","SCHNEIDER","NS1600N","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1336","SY6-BLK1-LVSB-1-2A_ACB-1 MAIN ISOLATOR","SY6-L1-03","SY6-L1-HALL-2","SCHNEIDER","NS1600NA","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1337","SY6-BLK1-LVSB-1-2A_ACB-2 PDU BUSBAR ISOLATOR","SY6-L1-03","SY6-L1-HALL-2","SCHNEIDER","NS1600N","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1341","SY6-BLK1-LVSB-1-2R_ACB-1 MAIN ISOLATOR","SY6-L1-03","SY6-L1-HALL-2","SCHNEIDER","NS1600NA","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1342","SY6-BLK1-LVSB-1-2R_ACB-2 PDU BUSBAR ISOLATOR","SY6-L1-03","SY6-L1-HALL-2","SCHNEIDER","NS1600N","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1345","SY6-BLK1-LVSB-1-3A_ACB-1 MAIN ISOLATOR","SY6-GF-06","SY6-GF-HALL-3","SCHNEIDER","NS1600NA","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1346","SY6-BLK1-LVSB-1-3A_ACB-2 PDU BUSBAR ISOLATOR","SY6-GF-06","SY6-GF-HALL-3","SCHNEIDER","NS1600N","20201724255","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1351","SY6-BLK1-LVSB-1-3R_ACB-1 MAIN ISOLATOR","SY6-GF-06","SY6-GF-HALL-3","SCHNEIDER","NW16 H1","A2130930002","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1352","SY6-BLK1-LVSB-1-3R_ACB-2 PDU BUSBAR ISOLATOR","SY6-GF-06","SY6-GF-HALL-3","SCHNEIDER","NW20 H1","A2130930003","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1355","SY6-BLK1-LVSB-1-4A_ACB-1 MAIN ISOLATOR","SY6-L1-04","SY6-L1-HALL-4","SCHNEIDER","NW16 H1","A2130930004","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1356","SY6-BLK1-LVSB-1-4A_ACB-2 PDU BUSBAR ISOLATOR","SY6-L1-04","SY6-L1-HALL-4","SCHNEIDER","NW32 H1","A2141210006","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1361","SY6-BLK1-LVSB-1-4R_ACB-1 MAIN ISOLATOR","SY6-L1-04","SY6-L1-HALL-4","SCHNEIDER","NW32 HF","A2141210004","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1362","SY6-BLK1-LVSB-1-4R_ACB-2 PDU BUSBAR ISOLATOR","SY6-L1-04","SY6-L1-HALL-4","SCHNEIDER","NW32 HF","A2141210005","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","2073","SY6-MSB-1-R-ACB-N18-UPS-R-RECTIFIER SUPPLY","SY6-L1-16","SY6-L1-BLK1-PR-1-R","SCHNEIDER","MASTERPACT MTZ2-20 H1","A2193950005","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","2074","SY6-MSB-1-R-ACB-N19-UPS-R-INTERNAL BYPASS","SY6-L1-16","SY6-L1-BLK1-PR-1-R","SCHNEIDER","MASTERPACT MTZ2-16 H1","A2193950006","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","2075","SY6-MSB-1-R-ACB-N20-UPS-R-WRAPAROUND SUPPLY","SY6-L1-16","SY6-L1-BLK1-PR-1-R","SCHNEIDER","MASTERPACT MTZ2-16 H1","A2193950007","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6879","SY6-2-GCB-06-ACB-MAIN ISOLATOR","SY6-L1","SY6-LEVEL 1","SCHNEIDER","MTZ3-63 H1","","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6881","SY6-2-GCB-R-ACB-MAIN ISOLATOR","SY6-L1","SY6-LEVEL 1","SCHNEIDER","MTZ3-63 H1","","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6883","SY6-2-GSB-R-1-ACB-XXX","SY6-GF-EX","SY6-GF-EXTERNAL","SCHNEIDER","MTZ2-50 H1","A2223720027","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6885","SY6-2-LBSB-R-ACB-5000A BUSWAY","SY6-L1-64","SY6-L1-LOADBANK SWITCHROOM","SCHNEIDER","MTZ3-50 H1","A2223720013","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6886","SY6-2-LBSB-R-ACB-1600A BUSWAY","SY6-L1-64","SY6-L1-LOADBANK SWITCHROOM","SCHNEIDER","MTZ2-20-H1","A223720009","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6887","SY6-2-LBSB-R-ACB-3150A BUSWAY","SY6-L1-64","SY6-L1-LOADBANK SWITCHROOM","SCHNEIDER","MTZ2-32-H1","A2223720012","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6888","SY6-2-LBSB-R-ACB-2-LB-R-1","SY6-L1-64","SY6-L1-LOADBANK SWITCHROOM","SCHNEIDER","MTZ2-32-H1","A2223720011","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6889","SY6-2-LBSB-R-ACB-2-LB-R-2","SY6-L1-64","SY6-L1-LOADBANK SWITCHROOM","SCHNEIDER","MTZ2-32-H1","A222370010","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6893","SY6-2-MSB-06-ACB-2-MDSB-06","SY6-L1-20","SY6-L1-BLK2-SWITCHROOM 6","SCHNEIDER","MTZ2-16-H1","A2223450020","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6894","SY6-2-MSB-06-ACB-2-UPS-06-2","SY6-L1-20","SY6-L1-BLK2-SWITCHROOM 6","SCHNEIDER","MTZ2-20-H1","A2223450016","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6895","SY6-2-MSB-06-ACB-UPS BYPASS TO 2-UDP-06-2","SY6-L1-20","SY6-L1-BLK2-SWITCHROOM 6","SCHNEIDER","MTZ2-20-H1","A2223450022","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6896","SY6-2-MSB-06-ACB-2-UPS-06-1","SY6-L1-20","SY6-L1-BLK2-SWITCHROOM 6","SCHNEIDER","MTZ2-20-H1","A2223450029","","","","","","","","","","","","","","","","","","","","",""
