"Job","Site","Classification","Asset ID","Description","Location ID","Location","Manufacturer","Model","Serial","AMP FRAME","ASSET UID BREAKER IS INSTALLED IN","BREAKER CONSTRUCTION","BREAKER MOUNT","BREAKER TYPE","GROUND FAULT DELAY (TG(S))","GROUND FAULT PICK UP (PU X IN) (IG)","GROUND FAULT (I2T)","INST (X IN) (II)","KA RATING","LONG TIME DELAY (LTD / TR(S))","LONG TIME PICK UP (LTPU X IN) (IR)","OPERATOR TYPE","SENSOR IN (PLUG RATING)","SHORT TIME (I2T)","SHORT TIME DELAY (TSD(S))","SHORT TIME PICK UP (PU X IR) (LSD)","TRIP MODEL","TRIP TYPE","VERIFIED AGAINST COORDINATION STUDY","VOLTAGE RATING"
"SY6 Breakers — Asset Capture","SY6","BREAKER","6956","SY6-2-UDP-R-ACB-BUSTIE A","SY6-GF-26","SY6-GF-BLK2-SWITCHROOM R","SCHNEIDER","MTZ2-20-HA","A2223520031","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6957","SY6-2-UDP-R-ACB-BUSTIE B","SY6-GF-26","SY6-GF-BLK2-SWITCHROOM R","SCHNEIDER","MTZ2-20-HA","A2223520030","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6958","SY6-2-UDP-R-ACB-2-UPS-R-2 INCOMER","SY6-GF-26","SY6-GF-BLK2-SWITCHROOM R","SCHNEIDER","MTZ2-20-HA","A2223520032","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6959","SY6-2-UDP-R-ACB-UPS BUSDUCT B BWY-LV-002","SY6-GF-26","SY6-GF-BLK2-SWITCHROOM R","SCHNEIDER","MTZ3-40-H1","A2223520042","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6960","SY6-2-UDP-R-ACB-UPS BUSDUCT A BWY-LV-002","SY6-GF-26","SY6-GF-BLK2-SWITCHROOM R","SCHNEIDER","MTZ3-40-H1","A2223520041","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6961","SY6-2-UDP-R-ACB-2-STS-05-A-2","SY6-GF-26","SY6-GF-BLK2-SWITCHROOM R","SCHNEIDER","MTZ2-20-H1","A2223520007","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6962","SY6-2-UDP-R-ACB-2-STS-05-B-2","SY6-GF-26","SY6-GF-BLK2-SWITCHROOM R","SCHNEIDER","MTZ2-20-H1","A2224510004","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6997","SY6-2-MDSB-R-ACB-2-MSB-R INCOMER","SY6-GF-26","SY6-GF-BLK2-SWITCHROOM R","SCHNEIDER","MTZ2-20-HA","A2223510011","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6998","SY6-2-MDSB-R-ACB-BUSWAY A BWY-LV-003","SY6-GF-26","SY6-GF-BLK2-SWITCHROOM R","SCHNEIDER","MTZ2-20-H1","A2223520008","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","6999","SY6-2-MDSB-R-ACB-BUSWAY B BWY-LV-003","SY6-GF-26","SY6-GF-BLK2-SWITCHROOM R","SCHNEIDER","MTZ2-20-H1","A2223520027","","","","","","","","","","","","","","","","","","","","",""
